branch_id,diameter_mean_mm,diameter_std_mm,diameter_min_mm,diameter_max_mm,length_mm,num_points,volume_mm3,surface_area_mm2
890,3.239832687033593,0.17344581251311603,3.117187976837158,3.485122107426463,1.4792969822883606,3,12.195241870092316,15.056631682123488
891,3.3011550421318105,0.18396706529465234,3.117187976837158,3.485122107426463,0.699999988079071,2,5.991281947036525,7.259618976474963
892,2.3153925040918417,0.851969522759444,1.399999976158142,3.485122107426463,3.6585939526557922,6,15.404703350052408,26.612685879959756
893,2.8642002053454005,0.25298777149175766,2.611212433853643,3.117187976837158,0.699999988079071,2,4.510188123955785,6.298705119200131
894,3.2045615852571356,0.0,3.2045615852571356,3.2045615852571356,0.7792969942092896,2,6.285359561288648,7.845515705118593
895,3.6973261749478468,0.4927645896907109,3.2045615852571356,4.1900907646385575,0.699999988079071,2,7.515596312865708,8.13084478593152
896,3.344841846341799,0.14028026108466363,3.2045615852571356,3.485122107426463,0.7792969942092896,2,6.847689480405649,8.188954569430372
897,3.2857150909895276,0.14043462138774027,3.117187976837158,3.485122107426463,3.3854136737875082,5,28.705256389500608,34.945520953072915
898,1.6845464489653335,0.2973998945244838,1.399999976158142,2.0950453823192787,1.558593988418579,3,3.4736724100464773,8.248326811481023
899,2.0882839348638336,0.4297562765074348,1.558593988418579,2.611212433853643,1.558593988418579,3,5.338287666907008,10.225214259008492
900,3.171158913816617,0.3969133929585918,2.611212433853643,3.485122107426463,1.558593988418579,3,12.310023733452773,15.52747631765595
901,3.3011550421318105,0.18396706529465234,3.117187976837158,3.485122107426463,0.7792969942092896,2,6.669982988997624,8.081999062595134
902,4.074718452464155,0.37919881611885564,3.563485677597184,4.4705789151567235,1.4792969822883606,3,19.29036586800262,18.936636818513847
903,4.33033483989764,0.140244075259083,4.1900907646385575,4.4705789151567235,0.7792969942092896,2,11.477197123317715,10.601671739166491
904,3.3982174340706592,0.5837893783780038,2.799999952316284,4.1900907646385575,1.399999976158142,3,12.69755892552828,14.946140642116733
905,3.6204638758073,0.1353417683808371,3.485122107426463,3.755805644188137,1.0475226911596394,2,10.784046647119716,11.914546883542721
906,2.415966950833257,0.8006315930398606,1.558593988418579,3.485122107426463,1.826819685368929,3,8.374666903901431,13.865532226776601
