branch_id,diameter_mean_mm,diameter_std_mm,diameter_min_mm,diameter_max_mm,length_mm,num_points,generation,volume_mm3,surface_area_mm2,proximal_node,distal_node,distance_from_carina_proximal_mm,distance_from_carina_distal_mm
28,2.7005095701392885,1.092998121755946,1.399999976158142,5.23037859835436,10.415137792133775,11,4,59.65493032046074,88.36099820580725,361,391,81.74971129410334,92.16484908623711
29,5.6321949572874415,1.051651045871867,4.479867701162583,8.280723413527017,10.812515608503986,11,3,269.384118011582,191.31732481172625,461,361,70.93719568559935,81.74971129410334
30,1.6071518970248946,0.39436036930385926,1.399999976158142,2.799999952316284,14.371288204623376,15,5,29.154086014804804,72.56087260643842,391,439,92.16484908623711,106.5361372908605
31,2.0076064047710283,0.6058428474672826,1.399999976158142,2.799999952316284,10.097438162291127,10,5,31.96378704710627,63.68536575923467,391,404,92.16484908623711,102.26228724852824
32,2.245210366935318,0.9521886867466895,1.399999976158142,5.450040065869424,46.376296831370226,44,3,183.6115623910886,327.1168975434867,619,397,75.97828455459506,122.35458138596529
33,3.0955942287549423,0.42467101003984736,2.0950453823192787,4.1900907646385575,16.476715766165672,18,3,124.0076815246433,160.2376440332357,511,450,81.68259112903533,98.159306895201
34,7.690054494424173,0.8915865386739794,6.234375953674316,9.351563930511475,31.34087129705662,34,2,1455.6594431981055,757.1646959087535,686,461,39.596324388542726,70.93719568559935
35,1.5507645640856516,0.364838388515295,1.399999976158142,2.799999952316284,14.97229098955016,16,4,28.279379602185102,72.94306371737078,533,485,95.81022048834605,110.78251147789621
36,4.73606776413641,1.6799676866762494,2.0950453823192787,8.280723413527017,14.898070442728052,14,2,262.4555253337636,221.66534636281375,592,511,66.78452068630727,81.68259112903533
37,2.913852392396202,0.36431237460612664,2.611212433853643,4.1900907646385575,14.127629359310713,16,3,94.20940689540323,129.3262584491183,511,533,81.68259112903533,95.81022048834605
38,1.668062230770947,0.443221382339259,1.399999976158142,2.799999952316284,10.365503391916672,11,4,22.651907385513244,54.319094258357396,533,554,95.81022048834605,106.17572388026272
39,1.7854800454564355,0.46072062426420884,1.399999976158142,2.799999952316284,30.783865349402365,29,6,77.07668607992422,172.6744273083613,669,565,99.72721890141861,130.51108425082097
40,9.486437416902323,1.4303523524973067,7.7929699420928955,14.970747915906559,66.78452068630727,69,1,4720.3259274837,1990.3471535366177,1033,592,0.0,66.78452068630727
